title,img,writer,price,uri
ΠΡΟΣ ΠΑΤΡΙΔΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3582.jpg,ΕΞΑΡΧΟΥ ΚΑΛΛΙΟΠΗ,"7,63 €|8,48 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/pros-patrida.html
ΑΝΑΓΕΝΝΗΣΗ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3282.jpg,ΒΛΑΒΙΑΝΟΣ ΧΑΡΗΣ,"10,98 €|12,20 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/anagennisi-html-html.html
ΕΙΔΗ ΦΡΙΚΟΣ Ή ΠΕΣΑΜΕ Σ’ ΕΡΩΤΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3276_1.jpg,ΜΑΡΟΥΛΑΣ ΒΑΣΙΛΗΣ,"10,80 €|12,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/eidi-frikos-pesame-s-erota.html
ΑΡΧΑΙΟΣ ΠΙΘΗΚΟΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/a/r/arxaios.png,ΚΟΥΤΣΟΥΜΠΕΛΗ ΧΛΟΗ,"10,80 €|12,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/archaios-pithikos.html
ΘΛΙΜΜΕΝΟΣ ΒΑΤΡΑΧΟΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3404_1.jpg,ΠΑΡΩΔΗΣ ΑΚΗΣ,"9,00 €|10,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/thlimmenos-batrachos.html
ΤΟ ΜΥΘΙΣΤΟΡΗΜΑ ΤΟΥ ΔΕΙΠΝΟΥ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_6262.png,ΚΟΤΣΙΦΟΣ ΓΙΑΝΝΗΣ,"6,30 €|7,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/to-mythistorima-toy-deipnoy.html
ΚΑΝΤΙΝΕΛΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/c/a/cantilena.jpg,ΣΥΛΛΟΓΙΚΟ ΕΡΓΟ,"13,50 €|15,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/metafrasmeni-piisi-cat/kantinela.html
Η ΣΥΝΟΥΣΙΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3196.jpg,ΜΥΡΜΙΓΓΙΔΗΣ ΠΑΝΟΣ,"11,45 €|12,72 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/i-synoysia.html
ΑΝΕΜΕΛΕΣ ΠΕΡΙΠΛΑΝΗΣΕΙΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3199.jpg,ΚΟΥΚΟΥΜΠΑΝΗΣ ΝΤΙΝΟΣ,"12,40 €|13,78 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/anemeles-periplaniseis.html
ΣΧΕΔΙΑΣΜΑ ΣΙΩΠΗΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3201.jpg,ΠΕΤΡΑΚΗ ΑΝΝΑ,"10,49 €|11,69 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/schediasma-siopis.html
